Tamanho , OP1 v1 , OP2 v1 , OP1 v2 , OP2 v2 
32 , 0.0002 , 6.602043e-07 , 0.0002 , 1.846810e-06 
64 , 0.0009 , 2.677818e-06 , 0.0005 , 4.342348e-06 
128 , 0.0037 , 1.133615e-05 , 0.0018 , 1.364734e-05 
256 , 0.0174 , 0.0001 , 0.0066 , 4.937736e-05 
512 , 0.0769 , 0.0003 , 0.0256 , 0.0002 
1000 , 0.3098 , 0.0010 , 0.0954 , 0.0007 
2000 , 1.2670 , 0.0042 , 0.3782 , 0.0029 
4000 , 5.1150 , 0.0170 , 1.5060 , 0.0116 
8000 , 20.5387 , 0.0681 , 6.0019 , 0.0464 
