Tamanho , OP1 v1 , OP2 v1 , OP1 v2 , OP2 v2 
32 , 614.9827 , 59811.7886 , 735.0402 , 19441.0903 
64 , 248.9505 , 25764.2603 , 251.3235 , 8843.1420 
128 , 3699.1836 , 16378.0472 , 105.7289 , 3559.3749 
256 , 9537.3406 , 11135.2299 , 65.3924 , 1223.5567 
512 , 8552.1067 , 8031.7977 , 33.3227 , 427.8887 
1000 , 10724.7910 , 10811.8120 , 141.8843 , 189.1077 
2000 , 14374.6939 , 14687.4691 , 213.5461 , 87.6531 
4000 , 14912.7334 , 14934.5535 , 137.4512 , 43.3666 
8000 , 16967.0646 , 15039.5417 , 73.1149 , 34.6052 
